ID; Nome; Apelido; RB; FC; GC; CA; CV; SG; DD; DP; GS; FS; PE; A; FT; FD; FF; G; I; PP
86143;Wanderson Santos Pereira;Wanderson;5.0;10.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
85425;João Paulo Silva Martins;João Paulo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86120;Miguel Ángel Borja Hernández;Borja;7.0;11.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0;7.0;1.0;0.0;2.0;10.0;1.0;4.0;0.0
86410;Victor Luis Chuab Zamblauskas;Victor Luis;6.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;8.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0
86227;Andrew Erik Feitosa;Morato;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86444;Pablo Dyego da Silva Rosa;Pablo Dyego;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0;3.0;5.0;2.0;0.0;0.0
86711;Richard Cândido Coelho;Richard;38.0;13.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;19.0;24.0;1.0;0.0;2.0;2.0;1.0;0.0;0.0
86485;Marcos da Silva França;Keno;17.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;23.0;1.0;0.0;4.0;3.0;1.0;7.0;1.0
86519;Everton Felipe de Oliveira Silva;Everton Felipe;4.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;16.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0
86508;Jandrei Chitolina Carniel;Jandrei;1.0;0.0;0.0;1.0;0.0;3.0;17.0;0.0;19.0;2.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86757;Everton Sousa Soares;Everton;13.0;11.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;17.0;20.0;3.0;2.0;7.0;16.0;2.0;1.0;0.0
86615;Malcoon Silva;Malcoon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86536;Richardson Fernandes dos Santos;Richardson;15.0;11.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;23.0;16.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
86740;João Lucas Cardoso;João Lucas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86759;Luan Guilherme de Jesus Vieira;Luan;8.0;13.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;32.0;32.0;1.0;2.0;7.0;15.0;0.0;0.0;0.0
86760;Lucas Macanhan Ferreira;Lucas Macanhan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86764;Sidcley Ferreira Pereira;Sidcley;20.0;5.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;10.0;22.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0
86859;José Welison da Silva;José Welison;10.0;15.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;17.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
86766;Matheus Rossetto;Matheus Rossetto;12.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;20.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0
86797;Raniel Santana de Vasconcelos;Raniel;6.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;4.0;1.0;0.0;3.0;9.0;1.0;2.0;0.0
86861;Luís Vinícius da Silva Matos;Vinicius;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86951;Nathan Gomes de Melo;Nathan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86973;Leonardo Gomes da Conceição Silva;Leonardo;5.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
86863;Luiz Otávio da Silva Santos;Luiz Otávio ;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
86972;Emerson Raymundo Santos;Emerson Santos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87008;Leonardo César Jardim;Léo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86928;David Rambo Becker;David;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87192;José Carlos Cracco Neto;Zeca;10.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;15.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0
87342;Walter Kannemann;Kannemann;30.0;10.0;0.0;2.0;1.0;7.0;0.0;0.0;0.0;15.0;8.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0
87393;Gabriel Costa França;Gabriel;16.0;12.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;12.0;8.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0
87402;Messias Rodrigues da Silva Júnior;Messias;13.0;10.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;9.0;25.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0
87470;Thaciano Mickael da Silva;Thaciano;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0
